date,ticker,underlying,type,quantity,price,price_today,delta,vega
2025-06-27,O:SPY250919C00615000,SPY,long,5,20.51,20.51,0.57,1.157
2025-06-27,O:SPY250919P00615000,SPY,long,5,15.55,15.55,-0.453,1.156
2025-06-27,O:MSFT250919C00495000,MSFT,short,0.692561463,23.45,23.45,0.549,0.937
2025-06-27,O:MSFT250919P00495000,MSFT,short,0.692561463,18.7,18.7,-0.463,0.934
2025-06-27,O:AAPL250919C00200000,AAPL,short,1.418339734,12.15,12.15,0.564,0.379
2025-06-27,O:AAPL250919P00200000,AAPL,short,1.418339734,9.45,9.45,-0.445,0.378
2025-06-27,O:NVDA250919C00158000,NVDA,short,1.729505579,13.3,13.3,0.557,0.299
2025-06-27,O:NVDA250919P00158000,NVDA,short,1.729505579,12.04,12.04,-0.45,0.298
2025-06-27,O:V250919C00350000,V,short,0.560412083,16.6,16.6,0.539,0.663
2025-06-27,O:V250919P00350000,V,short,0.560412083,14.9,14.9,-0.473,0.66
2025-06-27,O:GOOGL250919C00180000,GOOGL,short,1.086011919,10.54,10.54,0.479,0.335
2025-06-27,O:GOOGL250919P00180000,GOOGL,short,1.086011919,11.55,11.55,-0.52,0.333
2025-06-27,O:GS250919C00690000,GS,short,0.234474561,38.56,38.56,0.546,1.307
2025-06-27,O:GS250919P00690000,GS,short,0.234474561,36.16,36.16,-0.461,1.309
2025-06-27,O:META250919C00735000,META,short,0.203115885,49.1,49.1,0.539,1.39
2025-06-27,O:META250919P00735000,META,short,0.203115885,43.74,43.74,-0.47,1.385
2025-06-27,O:BRKB250919C00485000,BRK.B,short,0.300386456,20.4,20.4,0.567,0.916
2025-06-27,O:BRKB250919P00485000,BRK.B,short,0.300386456,15.2,15.2,-0.453,0.911
2025-06-27,O:CSCO250919C00067500,CSCO,short,1.985373991,3.6,3.6,0.597,0.127
2025-06-27,O:CSCO250919P00067500,CSCO,short,1.985373991,2.33,2.33,-0.418,0.127
2025-06-27,O:AMZN250919C00225000,AMZN,short,0.5975976,13.25,13.25,0.503,0.422
2025-06-27,O:AMZN250919P00225000,AMZN,short,0.5975976,13.3,13.3,-0.502,0.42
2025-06-27,O:XOM250919C00110000,XOM,short,1.189556321,4.6,4.6,0.505,0.207
2025-06-27,O:XOM250919P00110000,XOM,short,1.189556321,5.25,5.25,-0.512,0.207
2025-06-27,O:BAC250919C00047000,BAC,short,2.492213318,2.43,2.43,0.55,0.089
2025-06-27,O:BAC250919P00047000,BAC,short,2.492213318,2.06,2.06,-0.462,0.089
2025-06-27,O:KO250919C00070000,KO,short,1.600401952,3,3,0.578,0.131
2025-06-27,O:KO250919P00070000,KO,short,1.600401952,2.12,2.12,-0.449,0.133
2025-06-27,O:AVGO250919C00270000,AVGO,short,0.402554815,22.55,22.55,0.556,0.51
2025-06-27,O:AVGO250919P00270000,AVGO,short,0.402554815,20.82,20.82,-0.451,0.51
2025-06-27,O:TMO250919C00410000,TMO,short,0.264247722,26.9,26.9,0.547,0.776
2025-06-27,O:TMO250919P00410000,TMO,short,0.264247722,24.2,24.2,-0.461,0.774
2025-06-27,O:WMT250919C00097500,WMT,short,1.013801605,4.96,4.96,0.55,0.185
2025-06-27,O:WMT250919P00097500,WMT,short,1.013801605,4.25,4.25,-0.46,0.184
2025-06-27,O:GE250919C00250000,GE,short,0.390617325,21.41,21.41,0.606,0.47
2025-06-27,O:GE250919P00250000,GE,short,0.390617325,12.55,12.55,-0.401,0.471
2025-06-27,O:BX250919C00150000,BX,short,0.638320874,9.96,9.96,0.555,0.285
2025-06-27,O:BX250919P00150000,BX,short,0.638320874,8.35,8.35,-0.454,0.284
2025-06-27,O:DE250919C00510000,DE,short,0.184945078,30,30,0.561,0.965
2025-06-27,O:DE250919P00510000,DE,short,0.184945078,23.25,23.25,-0.45,0.963
2025-06-27,O:PEP250919C00130000,PEP,short,0.657045664,7.05,7.05,0.569,0.243
2025-06-27,O:PEP250919P00130000,PEP,short,0.657045664,5.53,5.53,-0.459,0.248
2025-06-27,SPY_HEDGE_STOCK,SPY,long,1.056055772,614.91,614.91,1,0
2025-06-30,O:SPY250919C00615000,SPY,long,5,20.51,22.04,0.597,1.137
2025-06-30,O:SPY250919P00615000,SPY,long,5,15.55,14.42,-0.424,1.141
2025-06-30,O:MSFT250919C00495000,MSFT,short,0.692561463,23.45,25.45,0.589,0.923
2025-06-30,O:MSFT250919P00495000,MSFT,short,0.692561463,18.7,17,-0.423,0.924
2025-06-30,O:AAPL250919C00200000,AAPL,short,1.418339734,12.15,14.8,0.642,0.366
2025-06-30,O:AAPL250919P00200000,AAPL,short,1.418339734,9.45,7.75,-0.363,0.367
2025-06-30,O:NVDA250919C00158000,NVDA,short,1.729505579,13.3,13.56,0.563,0.297
2025-06-30,O:NVDA250919P00158000,NVDA,short,1.729505579,12.04,11.5,-0.444,0.299
2025-06-30,O:V250919C00350000,V,short,0.560412083,16.6,19.76,0.6,0.65
2025-06-30,O:V250919P00350000,V,short,0.560412083,14.9,12.05,-0.41,0.651
2025-06-30,O:GOOGL250919C00180000,GOOGL,short,1.086011919,10.54,9.7,0.502,0.334
2025-06-30,O:GOOGL250919P00180000,GOOGL,short,1.086011919,11.55,11.8,-0.507,0.333
2025-06-30,O:GS250919C00690000,GS,short,0.234474561,38.56,49.2,0.625,1.272
2025-06-30,O:GS250919P00690000,GS,short,0.234474561,36.16,27.35,-0.384,1.282
2025-06-30,O:META250919C00735000,META,short,0.203115885,49.1,52.15,0.569,1.38
2025-06-30,O:META250919P00735000,META,short,0.203115885,43.74,42.5,-0.439,1.379
2025-06-30,O:BRKB250919C00485000,BRK.B,short,0.300386456,20.4,19.55,0.573,0.907
2025-06-30,O:BRKB250919P00485000,BRK.B,short,0.300386456,15.2,14.6,-0.448,0.902
2025-06-30,O:CSCO250919C00067500,CSCO,short,1.985373991,3.6,4.2,0.629,0.124
2025-06-30,O:CSCO250919P00067500,CSCO,short,1.985373991,2.33,2.16,-0.381,0.124
2025-06-30,O:AMZN250919C00225000,AMZN,short,0.5975976,13.25,11.35,0.492,0.417
2025-06-30,O:AMZN250919P00225000,AMZN,short,0.5975976,13.3,14.7,-0.522,0.413
2025-06-30,O:XOM250919C00110000,XOM,short,1.189556321,4.6,3.72,0.463,0.203
2025-06-30,O:XOM250919P00110000,XOM,short,1.189556321,5.25,5.8,-0.555,0.201
2025-06-30,O:BAC250919C00047000,BAC,short,2.492213318,2.43,2.45,0.561,0.088
2025-06-30,O:BAC250919P00047000,BAC,short,2.492213318,2.06,1.9,-0.452,0.089
2025-06-30,O:KO250919C00070000,KO,short,1.600401952,3,3.1,0.601,0.128
2025-06-30,O:KO250919P00070000,KO,short,1.600401952,2.12,1.92,-0.423,0.131
2025-06-30,O:AVGO250919C00270000,AVGO,short,0.402554815,22.55,26.03,0.592,0.507
2025-06-30,O:AVGO250919P00270000,AVGO,short,0.402554815,20.82,17.95,-0.414,0.507
2025-06-30,O:TMO250919C00410000,TMO,short,0.264247722,26.9,26.9,0.532,0.767
2025-06-30,O:TMO250919P00410000,TMO,short,0.264247722,24.2,24.2,-0.476,0.765
2025-06-30,O:WMT250919C00097500,WMT,short,1.013801605,4.96,5,0.565,0.183
2025-06-30,O:WMT250919P00097500,WMT,short,1.013801605,4.25,3.8,-0.445,0.183
2025-06-30,O:GE250919C00250000,GE,short,0.390617325,21.41,21.5,0.623,0.464
2025-06-30,O:GE250919P00250000,GE,short,0.390617325,12.55,12.25,-0.384,0.465
2025-06-30,O:BX250919C00150000,BX,short,0.638320874,9.96,9.05,0.533,0.282
2025-06-30,O:BX250919P00150000,BX,short,0.638320874,8.35,8.65,-0.476,0.281
2025-06-30,O:DE250919C00510000,DE,short,0.184945078,30,27.37,0.544,0.958
2025-06-30,O:DE250919P00510000,DE,short,0.184945078,23.25,24.45,-0.467,0.954
2025-06-30,O:PEP250919C00130000,PEP,short,0.657045664,7.05,7.85,0.602,0.24
2025-06-30,O:PEP250919P00130000,PEP,short,0.657045664,5.53,5.3,-0.423,0.245
2025-06-30,SPY_HEDGE_STOCK,SPY,long,0.408178395,614.91,617.85,1,0
2025-07-01,O:SPY250919C00615000,SPY,long,5,20.51,21.98,0.593,1.128
2025-07-01,O:SPY250919P00615000,SPY,long,5,15.55,14.51,-0.427,1.132
2025-07-01,O:MSFT250919C00495000,MSFT,short,0.692561463,23.45,20.45,0.538,0.922
2025-07-01,O:MSFT250919P00495000,MSFT,short,0.692561463,18.7,19.05,-0.474,0.918
2025-07-01,O:AAPL250919C00200000,AAPL,short,1.418339734,12.15,16.44,0.669,0.355
2025-07-01,O:AAPL250919P00200000,AAPL,short,1.418339734,9.45,6.74,-0.34,0.358
2025-07-01,O:NVDA250919C00158000,NVDA,short,1.729505579,13.3,10.65,0.508,0.29
2025-07-01,O:NVDA250919P00158000,NVDA,short,1.729505579,12.04,13.35,-0.499,0.288
2025-07-01,O:V250919C00350000,V,short,0.560412083,16.6,19.65,0.621,0.639
2025-07-01,O:V250919P00350000,V,short,0.560412083,14.9,11.15,-0.39,0.641
2025-07-01,O:GOOGL250919C00180000,GOOGL,short,1.086011919,10.54,9,0.49,0.33
2025-07-01,O:GOOGL250919P00180000,GOOGL,short,1.086011919,11.55,11.75,-0.522,0.328
2025-07-01,O:GS250919C00690000,GS,short,0.234474561,38.56,46.19,0.626,1.259
2025-07-01,O:GS250919P00690000,GS,short,0.234474561,36.16,27.25,-0.384,1.271
2025-07-01,O:META250919C00735000,META,short,0.203115885,49.1,40.15,0.504,1.354
2025-07-01,O:META250919P00735000,META,short,0.203115885,43.74,48.95,-0.504,1.347
2025-07-01,O:BRKB250919C00485000,BRK.B,short,0.300386456,20.4,22.5,0.627,0.878
2025-07-01,O:BRKB250919P00485000,BRK.B,short,0.300386456,15.2,12.07,-0.39,0.88
2025-07-01,O:CSCO250919C00067500,CSCO,short,1.985373991,3.6,3.98,0.625,0.123
2025-07-01,O:CSCO250919P00067500,CSCO,short,1.985373991,2.33,2.13,-0.386,0.123
2025-07-01,O:AMZN250919C00225000,AMZN,short,0.5975976,13.25,11.95,0.515,0.416
2025-07-01,O:AMZN250919P00225000,AMZN,short,0.5975976,13.3,13.95,-0.496,0.414
2025-07-01,O:XOM250919C00110000,XOM,short,1.189556321,4.6,4.4,0.512,0.204
2025-07-01,O:XOM250919P00110000,XOM,short,1.189556321,5.25,4.98,-0.504,0.204
2025-07-01,O:BAC250919C00047000,BAC,short,2.492213318,2.43,2.97,0.635,0.085
2025-07-01,O:BAC250919P00047000,BAC,short,2.492213318,2.06,1.54,-0.378,0.086
2025-07-01,O:KO250919C00070000,KO,short,1.600401952,3,3.8,0.671,0.121
